# dx  = 0.53
# dy  = 1.04
# dy2 = 0.21
# x   = nx*dx
# y   = ny*dy+a*dy2+dy3

# [ny = -1]
21	0.4	0	-1.04	0	0	0	0
64	0.36	2.12	-2.08	0	0	0	0
140	0.36	4.77	-1.04	0	0	0	0

# [ny = 0]
107	0.36	0.53	0	0	0	0	0
49	0.36	1.59	0	0	0	0	0
41	0.36	3.18	0	0	0	0	0
125	0.36	4.24	0	0	0	0	0

# [ny = 2]
114	0.36	0.53	2.08	0	0	0	0
141	0.36	4.24	2.08 	0	0	0	0

# [ny = 4] 	[dy3 = 0.25]
40	0.36	1.06	4.41	0	0	0	0
132	0.36	2.12	4.41	0	0	0	0
43	0.36	3.71	4.41	0	0	0	0

# [ny = 5]
# 		[dy3 = 0.15]
136	0.36	0	5.35	0	0	0	0
# 		[dy3 = 0.25]
13	0.4	4.24	5.45	0	0	0	0

# [ny = 6]	[dy3 = 0.25]
115	0.36	1.59	6.49	0	0	0	0
109	0.36	3.18	6.49	0	0	0	0

#114	0.36	0	8.53	0	0	0	0
#141	0.36	2.65	8.53	0	0	0	0
#140	0.36	4.77	8.425	0	0	0	0

#150	0.36	1.745	9.735	0	0	0	0
#154	0.36	2.385	9.465	0	0	0	0
#157	0.36	3.025	9.735	0	0	0	0

#30	0.36	1.695	11.8	0	0	0	0
#121	0.36	2.385	10.425	0	0	0	0
#86	0.36	3.075	11.8	0	0	0	0
